acceptance_rate,application_deadline,career_resources_rating,city,city_cost_index,country_code,description,feature_tags,founded_year,id,international_students_page,logo_url,major_tags,notable_alumni,portfolio_difficulty,program_count,qs_architecture_built_environment_rank,qs_art_design_rank,qs_art_humanities_rank,qs_history_of_art_rank,qs_overall_rank,raw_country,strength_disciplines,tuition_usd_per_year
,Feb-May (for international graduate programs),3,Bangkok,3,TH,朱拉隆功大学美术与应用艺术学院成立于1983年，是泰国顶尖的艺术学府，提供视觉艺术、音乐、创意艺术和舞蹈等本科及研究生课程。学院致力于培养具有知识、技能和创造力的艺术家，以促进泰国艺术文化的发展。,公立|艺术设计|综合大学院系,1983,919e4d96-99ee-4818-9e83-45c05543bc95,https://www.faa.chula.ac.th/international/,https://www.faa.chula.ac.th/international/wp-content/uploads/2020/06/logo.png,"[{""category"":""visual_arts"",""tags"":[""visual_arts""]},{""category"":""creative_arts"",""tags"":[""fashion"",""creative_arts""]},{""category"":""music"",""tags"":[""thai_music"",""western_music"",""music_therapy""]},{""category"":""dance"",""tags"":[""thai_dance"",""contemporary_dance""]},{""category"":""curatorial_practice"",""tags"":[""curatorial_practice""]}]",,3,7,,,,,221,泰国,视觉艺术|音乐|创意艺术|舞蹈|艺术疗法|策展实践,4400
0.44,,3,Montreal,3,CA,康考迪亚大学艺术学院是加拿大领先的艺术教育机构之一，提供广泛的视觉艺术、表演艺术和设计课程。学院以其创新精神和跨学科方法而闻名，培养学生在艺术领域进行批判性思维和创造性实践。,公立|艺术设计|综合大学院系,1974,92842fef-59ff-493e-88c8-fdacf347ee25,https://www.concordia.ca/admissions/international.html,https://www.concordia.ca/etc/designs/concordia/clientlibs/img/logo-concordia-university.png,"[{""category"":""design"",""tags"":[""graphic_design"",""industrial_design"",""animation""]},{""category"":""fine_arts"",""tags"":[""painting"",""sculpture"",""photography""]},{""category"":""performing_arts"",""tags"":[""film_production"",""theatre"",""dance""]}]",,4,48,,,,,,加拿大,电影制作|动画|当代艺术,23215
,,3,Durban,3,ZA,德班理工大学艺术与设计学院是南非领先的艺术设计学府，致力于培养学生的创造力、批判性思维和创新能力。学院提供多元化的艺术、设计、教育和人文科学课程，旨在培养适应市场需求并具备创业精神的毕业生。学院以其卓越的教学和研究享誉国内外，鼓励跨学科合作，推动艺术与科技的融合。,公立|艺术设计,2002,dbb64588-51e3-4da0-a2ce-41698edb1d78,https://www.dut.ac.za/international_education_and_partnerships/,,"[{""category"":""arts"",""tags"":[""drama"",""production_studies"",""fine_art"",""jewellery_design""]},{""category"":""design"",""tags"":[""fashion"",""textiles"",""visual_communication"",""interior_design"",""photography""]},{""category"":""media"",""tags"":[""journalism"",""language_practice"",""translation_interpreting"",""english_communication"",""video_technology""]},{""category"":""education"",""tags"":[""art_education""]}]",,3,10,,,,,,南非,戏剧与制作研究|时尚与纺织|纯艺术与珠宝设计|媒体语言与传播|视频技术|视觉传达设计,
0.47,"Jan 15 (Summer Accelerated Foundation, Fall); Sep 15 (Spring)",4,Vancouver,4,CA,艾米丽卡尔艺术与设计大学是加拿大顶尖的艺术与设计学府，成立于1925年，以其卓越的创意教育和充满活力的社区而闻名，致力于通过艺术和设计塑造社会。,公立|艺术设计|作品集导向,1925,c18a731f-1249-4234-9837-939d49f230e7,https://ecuad.ca/life-at-ecu/international-students-guide/,https://ecuad.ca/wp-content/uploads/2025/12/Emily-Carr-University-of-Art-Design-Logo-Primary.png,"[{""category"":""design"",""tags"":[""communication_design"",""industrial_design"",""interaction_design""]},{""category"":""fine_arts"",""tags"":[""visual_arts"",""film_screen_arts"",""photography"",""animation""]}]","Annie Liu, Douglas Coupland, Tommy Genesis, Michael Snow, Lynn Johnston",4,11,,30,,,,加拿大,动画|视觉传达|工业设计|电影与屏幕艺术|摄影|视觉艺术,12850
,Varies by program,3,Mexico City,3,MX,墨西哥国立自治大学艺术与设计学院是墨西哥领先的艺术与设计机构，致力于培养艺术与设计领域的专业人才和研究人员，拥有悠久的历史和丰富的艺术藏品。学院以研究生产为基础，通过教学和文化传播服务墨西哥社会。,公立|艺术设计,1781,2aadd82f-ed0d-4d67-8583-a09586cc3729,https://www.unaminternacional.unam.mx/en/unam,https://fad.unam.mx/wp-content/uploads/2025/03/logo-fad-azul.png,"[{""category"":""design"",""tags"":[""visual_communication"",""graphic_design""]},{""category"":""art"",""tags"":[""visual_arts"",""fine_arts""]}]",,3,3,49,40,26,,136,墨西哥,视觉传达设计|视觉艺术|艺术与设计,
,,3,Giza,3,EG,开罗大学艺术学院以其学术项目的丰富性和多样性而著称，涵盖建筑、室内建筑、舞台美术、平面设计、绘画、雕塑和艺术史等专业。学院致力于培养具备艺术才能和科学知识的创意人才，服务本地及全球艺术发展。,公立|艺术设计,1908,9678a373-3eef-44f6-b848-50431019a4b1,,,"[{""category"":""design"",""tags"":[""graphic_design"",""interior_architecture"",""scenography""]},{""category"":""fine_arts"",""tags"":[""painting"",""sculpture"",""art_history""]},{""category"":""architecture"",""tags"":[""architecture""]}]",,3,7,,,,,347,埃及,建筑|室内建筑|舞台美术|平面设计|绘画|雕塑|艺术史,3000
,,3,Cebu City,2,PH,圣卡洛斯大学美术学院提供电影研究硕士以及广告艺术、电影、时尚设计和绘画学士等多样化课程。学院拥有创意中心、Mac实验室和录音编辑室等先进设施，旨在培养学生的创造力，并为他们在艺术领域的职业发展做好准备。,私立|艺术设计|综合大学院系,1595,e416cdb9-3848-43a4-8fd7-1cf48baa40d2,https://enrollmentguide.usc.edu.ph/international-student,https://usc.edu.ph/wp-content/themes/universitygo665/images/main-logo.png,"[{""category"":""design"",""tags"":[""advertising_arts"",""fashion_design""]},{""category"":""film"",""tags"":[""cinema"",""film_studies""]},{""category"":""fine_arts"",""tags"":[""painting""]}]",,3,5,,,,,,菲律宾,广告艺术|电影|时尚设计|绘画,
,Varies by program,3,Havana,2,CU,古巴艺术大学（ISA）成立于1976年，是古巴领先的艺术高等学府，致力于培养视觉艺术、音乐、戏剧艺术、舞蹈艺术以及视听媒体艺术等领域的艺术家和创作者。学校强调个人实践，提供研究生课程，并拥有经验丰富的师资队伍。其课程涵盖绘画、雕塑、摄影、设计、表演等多个专业方向，是古巴艺术教育的重要基地。,公立|艺术大学,1976,1b352fb1-0855-4bba-bd95-c37084e5ff20,,https://isa.cult.cu/wp-content/uploads/2020/08/LOGO-ISA-50p.png,"[{""category"":""visual_arts"",""tags"":[""painting"",""sculpture"",""photography"",""graphic_design"",""multimedia""]},{""category"":""music"",""tags"":[""performance"",""composition"",""orchestra_conducting"",""music_pedagogy""]},{""category"":""theatre_arts"",""tags"":[""acting"",""directing"",""dramaturgy"",""scenic_design""]},{""category"":""dance_arts"",""tags"":[""ballet"",""folkloric_dance"",""contemporary_dance""]},{""category"":""audiovisual_media_arts"",""tags"":[""film"",""radio"",""television""]},{""category"":""cultural_heritage_conservation"",""tags"":[""art_conservation"",""art_restoration""]}]","Alexandre Arrechea, Quisqueya Henríquez, Reynier Leyva Novo",4,6,,,,,18519,古巴,视觉艺术|音乐|戏剧艺术|舞蹈艺术|视听媒体艺术,
,,4,Utrecht,3,NL,乌得勒支艺术大学（HKU）是欧洲最大的艺术大学之一，提供艺术与媒体高等教育。学校设有九个学院，涵盖纯艺术、设计、音乐与技术、游戏与互动等领域，致力于为创意产业培养人才，推动创新。,公立|艺术设计,1987,88926be6-7bbe-4a98-b82c-3ae3f4cc4e0b,https://www.hku.nl/en/study-at-hku/explore-and-apply/international,https://www.hku.nl/assets/img/favicons/favicon.svg,"[{""category"":""art"",""tags"":[""fine_art""]},{""category"":""design"",""tags"":[""design""]},{""category"":""music"",""tags"":[""music""]},{""category"":""theatre"",""tags"":[""theatre""]},{""category"":""media"",""tags"":[""media""]},{""category"":""game"",""tags"":[""game_design""]}]",,4,,,,,,,荷兰,纯艺术|设计|音乐|戏剧|媒体|游戏与互动,12500
,Varies by program,4,Hong Kong,5,HK,香港藝術學院（HKAS）成立於2000年，是香港藝術中心的附屬機構。學院提供學位課程，主要集中於陶瓷、繪畫、攝影和雕塑等美術學科，並與RMIT大學合作開設學士學位課程。學院致力於培養藝術人才，並通過短期課程和外展項目將藝術融入社區。,艺术设计,2000,03634ce1-696e-4f42-8d53-b1b9d5fc5180,https://www.hkas.edu.hk/programme/notes-to-non-local-students/,https://www.hkas.edu.hk/images/og_img/School Logo/HKAC_HKAS_Lock-up_ENG_2024.jpg,"[{""category"":""fine_art"",""tags"":[""ceramics"",""painting"",""photography"",""sculpture""]}]",,3,2,,,,,,香港,纯艺术|陶瓷|绘画|摄影|雕塑,12820
0.37,Varies by program,4,Seoul,4,KR,弘益大学（Hongik University）是韩国首尔一所知名的综合性大学，以其艺术与设计专业闻名。学校成立于1946年，致力于培养独立思考、富有创造力并能服务人类社会的专业人才。其艺术与设计学院在国际上享有较高声誉，提供多元化的本科和研究生课程。,综合大学|艺术设计|私立,1946,f0937d52-6446-4c4a-ba19-38833bb9adc0,https://oia.hongik.ac.kr/oia-e/content/17,https://upload.wikimedia.org/wikipedia/commons/c/cf/Hongik_University.svg,"[{""category"":""design"",""tags"":[""visual_communication"",""industrial_design"",""metalwork_jewelry"",""ceramics_glass"",""woodworking_furniture"",""textile_fashion""]},{""category"":""architecture"",""tags"":[""architecture"",""interior_architecture""]},{""category"":""fine_arts"",""tags"":[""painting"",""sculpture"",""printmaking"",""oriental_painting"",""art_history_theory""]},{""category"":""performing_arts"",""tags"":[""musical_theatre"",""contemporary_music""]}]","Kim Jong-deok, Eom Ha-young, Lee Geon-man, Gray, Loco, Joo Woo-jae, Noh Hong-chul, Kim Ou-joon, Jo Han-seon, Sohn Hye-won, 柳炅秀, 许允真",4,,,100,,,500,韩国,建筑|室内建筑|视觉传达设计|工业设计|金工与珠宝设计|陶瓷与玻璃设计|木工与家具设计|纺织艺术与时尚设计|艺术史与理论|音乐剧|现代音乐,8000
0.3,Varies by program,3,突尼斯市,3,TN,突尼斯高等美术学院（ISBAT）是突尼斯历史最悠久的艺术学府，成立于1923年，位于首都突尼斯市。学院在推动突尼斯艺术运动和视觉艺术传播方面发挥了重要作用，培养了众多艺术家。学院与多所法国大学合作，管理着突尼斯的艺术与文化博士学院。,公立|艺术学院,1923,54201cc1-7e39-45b1-a741-462b3c8bf63f,,,,"Azzedine Alaïa, Ali Bellagha, Jellal Ben Abdallah, Pierre Boucherle, Ammar Farhat, Safia Farhat, Aïcha Filali, Geneviève Gavrel",3,,,,,,,突尼斯,纯艺术|视觉艺术,3153
0.15,,3,Seoul,4,KR,韩国国立艺术大学是位于韩国首尔的一所国立大学。学校成立于1993年，是韩国唯一的国立艺术大学，旨在培养各个艺术领域的专业人才。,公立|艺术学院|艺术设计,1993,111b0131-97a8-4f61-acc3-c19f0435da75,https://www.karts.ac.kr/en/karts/foreign.do,http://www.karts.ac.kr/en/images/k_img.png,"[{""category"": ""performing_arts"", ""tags"": [""music"", ""drama"", ""dance"", ""korean_traditional_arts""]}, {""category"": ""visual_arts"", ""tags"": [""visual_arts""]}, {""category"": ""film_media"", ""tags"": [""film"", ""tv"", ""multimedia""]}]","Kim Go-eun, Lee Sun-kyun, Jung So-min, Lee Je-hoon, Park So-dam",4,27,,21,,,800,韩国,表演艺术|音乐|戏剧|电影、电视与多媒体|舞蹈|视觉艺术|韩国传统艺术,6000
0.23,"Undergraduate: Jan 15; Postgraduate: Dec 2 (Round 1), Mar 18 (Round 2)",5,London,5,GB,"伦敦时装学院（London College of Fashion, UAL）是世界领先的时尚设计、媒体和商业教育机构，隶属于伦敦艺术大学。学院致力于通过时尚的力量塑造生活，推动经济和社会转型。学院提供广泛的本科和研究生课程，涵盖时尚的各个领域，旨在培养具备专业技能、实践经验和行业洞察力的毕业生。",公立|艺术设计|时尚|伦敦,1906,0d2bc70b-2729-40f5-a021-cfadb56bed04,https://www.arts.ac.uk/study-at-ual/international,https://www.arts.ac.uk/__data/assets/image/0004/104924/LCF-logo.png,"[{""category"":""fashion"",""tags"":[""fashion_design"",""fashion_media"",""fashion_business""]}]","Jimmy Choo, Peggy Gou, Alek Wek, Jonathan Anderson, William Tempest",5,70,,2,,,,英国,时尚设计|时尚媒体|时尚商业,29490
0.73,Varies by program,3,Baton Rouge,3,US,路易斯安那州立大学艺术学院是路易斯安那州最大的艺术系，拥有35多名全职教职员工和500名本科生及研究生，提供艺术史、陶瓷、数字艺术、平面设计、绘画、摄影、版画和雕塑等专业。,公立|综合大学院系|艺术设计,1860,0e073461-abbd-4a0c-9161-1c36b9786a63,https://www.lsu.edu/admissions/apply/international.php,,,,3,7,,,,,,美国,数字艺术|平面设计|工作室艺术|艺术史|陶瓷|绘画|摄影|版画|雕塑,28631
0.45,,4,Singapore,5,SG,南洋艺术学院（NAFA）成立于1938年，是新加坡历史最悠久、规模最大的艺术学府。学院以严谨高质量的课程、创新实践的教学方法、多元艺术创作和社区推广而闻名。NAFA培养了众多杰出校友，致力于通过艺术激发学习和成长。,艺术设计|表演艺术|新加坡,1938,39be0ff2-08c7-4aab-a51f-521043a46254,https://www.nafa.edu.sg/admissions,https://www.nafa.edu.sg/images/default-source/corp-images/nafa-logo.png,"[{""category"":""design"",""tags"":[""3d_design"",""fashion_studies"",""design_media""]},{""category"":""fine_art"",""tags"":[""fine_art""]},{""category"":""performing_arts"",""tags"":[""dance"",""music"",""theatre""]}]","Constance Lau, Ceno2, Julie Tan, Mohammad Din Mohammad, Anthony Poon",4,,,200,,,1001,新加坡,纯艺术|设计|表演艺术,23000
0.5,Varies by program,,巴马科,2,ML,巴马科国立艺术学院（INA）是马里巴马科的一所国家级艺术学校，成立于1933年，最初名为苏丹工匠之家。学院提供珠宝制作与设计、插画、绘画、雕塑、摄影、音乐和戏剧等课程，培养了众多马里知名艺术家。,公立|艺术学院,1933,c570ec4f-b224-46f7-aa8e-ad6a5afdb004,,,,"Yaya Coulibaly, Habib Dembélé, Ismael Diabate, Amahiguere Dolo, Habib Koité, Abdoulaye Konaté, Malick Sidibé, Salif Traoré",3,,,,,,,马里,绘画|音乐|戏剧|雕塑|摄影,500
0.1,,3,Bogotá,3,CO,哥伦比亚国立大学艺术学院是哥伦比亚国立大学下属的艺术学院，位于首都波哥大。学院提供平面设计等本科专业，以及动画、产品设计、摄影、设计教育、器乐演奏与教学、戏剧与表演艺术、交响乐指挥、建筑、城市规划、设计、音乐治疗、艺术教育、博物馆学与遗产管理、创意写作、艺术史与理论、文化遗产保护、造型艺术与视觉艺术、人居环境等多个研究生专业及艺术与建筑博士项目。,公立|艺术设计|综合大学下属学院,1867,12b507ff-b6ac-4b9a-837a-0bb887484162,https://unal.edu.co/internacionalizacion,https://unal.edu.co/typo3conf/ext/unal_skin_default/Resources/Public/images/escudoUnal.svg,"[{""category"":""design"",""tags"":[""graphic_design"",""animation"",""product_design"",""photography"",""design_education"",""urban_design""]},{""category"":""music"",""tags"":[""instrumental_performance"",""symphonic_conducting"",""music_therapy""]},{""category"":""performing_arts"",""tags"":[""theater"",""performing_arts""]},{""category"":""architecture"",""tags"":[""housing_architecture"",""urbanism"",""architecture"",""construction"",""habitat""]},{""category"":""art_history"",""tags"":[""art_history_and_theory"",""cultural_heritage_conservation"",""museology_and_heritage_management""]},{""category"":""fine_arts"",""tags"":[""plastic_and_visual_arts""]},{""category"":""creative_writing"",""tags"":[""creative_writing""]},{""category"":""art_education"",""tags"":[""art_education""]}]",,3,27,,,,,259,哥伦比亚,平面设计|动画|产品设计|摄影|器乐演奏|戏剧与表演艺术|建筑|城市规划|艺术史与理论|文化遗产保护|造型艺术与视觉艺术,2000
,第一学期：10月最后一周至11月最后一周；第二学期：5月最后一周,2,Heredia,3,CR,哥斯达黎加国立大学艺术学院（CIDEA）是哥斯达黎加国立大学（UNA）的艺术研究、教学和推广中心。学院提供视觉艺术、表演艺术、舞蹈和音乐等多个领域的本科和研究生课程，致力于培养具有创造性和批判性思维的艺术专业人才，推动哥斯达黎加的艺术发展。,公立|艺术设计,1973,50b60ba0-c7b9-4977-8ae9-1258dda62b5d,https://www.aice.una.ac.cr/index.php/caja-de-herramientas?view=article&id=49,https://www.cidea.una.ac.cr/images/Logos/logo-una-aice.jpg,"[{""category"":""performing_arts"",""tags"":[""drama"",""dance"",""music""]},{""category"":""visual_arts"",""tags"":[""visual_communication"",""art_education""]}]",,3,8,,,,,,哥斯达黎加,表演艺术|视觉传达|舞蹈|音乐,1000
,,3,Port Elizabeth,3,ZA,纳尔逊·曼德拉大学是南非一所综合性公立大学，由多所院校合并而成。其视觉艺术系历史悠久，可追溯至1882年成立的伊丽莎白港艺术学校，提供从学士到硕士的全面视觉艺术课程。,公立|综合大学|艺术设计,2005,138c1907-243e-4253-9c59-ca8c0c42c1cf,https://international.mandela.ac.za/,,"[{""category"":""design"",""tags"":[""fashion_design"",""textile_design"",""graphic_design"",""photography""]},{""category"":""fine_arts"",""tags"":[""ceramics"",""painting"",""printmaking"",""sculpture""]}]",,3,,,,,,,南非,时尚与纺织设计|平面设计|摄影|陶瓷|绘画|版画|雕塑,
